0.txt   Размер файла - 510 байт.
1.txt   Размер файла - 476 байт.
10.txt   Размер файла - 469 байт.
11.txt   Размер файла - 363 байт.
12.txt   Размер файла - 119 байт.
13.txt   Размер файла - 23 байт.
14.txt   Размер файла - 318 байт.
15.txt   Размер файла - 81 байт.
16.txt   Размер файла - 120 байт.
17.txt   Размер файла - 397 байт.
18.txt   Размер файла - 159 байт.
19.txt   Размер файла - 515 байт.
2.txt   Размер файла - 304 байт.
20.txt   Размер файла - 110 байт.
21.txt   Размер файла - 137 байт.
22.txt   Размер файла - 393 байт.
23.txt   Размер файла - 165 байт.
24.txt   Размер файла - 330 байт.
25.txt   Размер файла - 51 байт.
26.txt   Размер файла - 135 байт.
27.txt   Размер файла - 374 байт.
28.txt   Размер файла - 227 байт.
29.txt   Размер файла - 163 байт.
3.txt   Размер файла - 474 байт.
30.txt   Размер файла - 435 байт.
31.txt   Размер файла - 449 байт.
32.txt   Размер файла - 439 байт.
33.txt   Размер файла - 405 байт.
34.txt   Размер файла - 453 байт.
35.txt   Размер файла - 212 байт.
36.txt   Размер файла - 329 байт.
37.txt   Размер файла - 416 байт.
38.txt   Размер файла - 154 байт.
39.txt   Размер файла - 203 байт.
4.txt   Размер файла - 214 байт.
40.txt   Размер файла - 145 байт.
41.txt   Размер файла - 479 байт.
42.txt   Размер файла - 251 байт.
43.txt   Размер файла - 555 байт.
44.txt   Размер файла - 126 байт.
45.txt   Размер файла - 443 байт.
46.txt   Размер файла - 58 байт.
47.txt   Размер файла - 34 байт.
48.txt   Размер файла - 171 байт.
49.txt   Размер файла - 5 байт.
5.txt   Размер файла - 323 байт.
50.txt   Размер файла - 35 байт.
51.txt   Размер файла - 556 байт.
52.txt   Размер файла - 401 байт.
53.txt   Размер файла - 178 байт.
54.txt   Размер файла - 161 байт.
55.txt   Размер файла - 549 байт.
56.txt   Размер файла - 122 байт.
57.txt   Размер файла - 235 байт.
58.txt   Размер файла - 252 байт.
59.txt   Размер файла - 521 байт.
6.txt   Размер файла - 285 байт.
60.txt   Размер файла - 8 байт.
61.txt   Размер файла - 367 байт.
62.txt   Размер файла - 414 байт.
63.txt   Размер файла - 358 байт.
64.txt   Размер файла - 559 байт.
65.txt   Размер файла - 341 байт.
66.txt   Размер файла - 107 байт.
67.txt   Размер файла - 369 байт.
68.txt   Размер файла - 323 байт.
69.txt   Размер файла - 355 байт.
7.txt   Размер файла - 133 байт.
70.txt   Размер файла - 438 байт.
71.txt   Размер файла - 94 байт.
72.txt   Размер файла - 223 байт.
73.txt   Размер файла - 92 байт.
74.txt   Размер файла - 437 байт.
75.txt   Размер файла - 68 байт.
76.txt   Размер файла - 555 байт.
77.txt   Размер файла - 362 байт.
78.txt   Размер файла - 7 байт.
79.txt   Размер файла - 23 байт.
8.txt   Размер файла - 347 байт.
80.txt   Размер файла - 461 байт.
81.txt   Размер файла - 331 байт.
82.txt   Размер файла - 554 байт.
83.txt   Размер файла - 467 байт.
84.txt   Размер файла - 471 байт.
85.txt   Размер файла - 333 байт.
86.txt   Размер файла - 445 байт.
87.txt   Размер файла - 503 байт.
88.txt   Размер файла - 26 байт.
89.txt   Размер файла - 182 байт.
9.txt   Размер файла - 337 байт.
90.txt   Размер файла - 35 байт.
91.txt   Размер файла - 497 байт.
92.txt   Размер файла - 543 байт.
93.txt   Размер файла - 483 байт.
94.txt   Размер файла - 59 байт.
95.txt   Размер файла - 55 байт.
96.txt   Размер файла - 37 байт.
97.txt   Размер файла - 27 байт.
98.txt   Размер файла - 251 байт.
99.txt   Размер файла - 360 байт.
result.txt   Размер файла - 5027 байт.
